,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
572,Hotel BG Inn,,"₹ 1,529",+₹ 183 taxes and charges,Deluxe Double Room,1 large double bed,8.5,Very good ,31 reviews,,FREE cancellation • No prepayment needed
573,OYO 85096 Sammilana Comforts,"₹ 2,145","₹ 1,072",+₹ 159 taxes and charges,Classic Triple Room,1 large double bed,2.2,Review score ,5 reviews,,FREE cancellation • No prepayment needed
574,VAISHNAVI RESIDENCY,,"₹ 2,520",+₹ 302 taxes and charges,Deluxe King Room,1 large double bed,7.0,Good ,4 reviews,,
575,SPOT ON 85465 Hotel P raju,"₹ 1,644",₹ 822,+₹ 30 taxes and charges,Triple Room with Bathroom,1 large double bed,5.0,Review score ,2 reviews,,Free cancellation
576,"Pink Petals Service Apartment by WB Hotels, Bangalore ,India","₹ 4,599","₹ 4,139",+₹ 497 taxes and charges,Deluxe Room,1 double bed,3.7,Review score ,3 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
577,OYO Flagship 77088 Srinidhi Residency,"₹ 1,961","₹ 1,274",+₹ 183 taxes and charges,Standard Double Room,1 large double bed,5.6,Review score ,7 reviews,,FREE cancellation • No prepayment needed
578,Lovely-2 Bedroom modern Condo in a gated society Only for family,,"₹ 1,800",+₹ 216 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 117m²5 beds (1 double, 3 sofa beds, 1 futon)",10,Exceptional ,1 review,Only 1 left at this price on our site,
579,Hotel Aurainn,,"₹ 1,500",+₹ 180 taxes and charges,Deluxe Double or Twin Room,1 extra-large double bed,3.7,Review score ,3 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
580,Capital O 1324 Royal Inchara,,"₹ 2,650",+₹ 363 taxes and charges,Budget Double Room,1 large double bed,5.9,Review score ,125 reviews,,Free cancellation
581,SPOT ON 76191 Sahara Lodge,"₹ 1,670",₹ 835,+₹ 45 taxes and charges,Triple Room with Bathroom,,3.2,Review score ,6 reviews,,FREE cancellation • No prepayment needed
582,Hotel Coffee Bean,,"₹ 5,130",+₹ 616 taxes and charges,[Sanitised]Superior Double Room,1 double bed,8.4,Very good ,7 reviews,,FREE cancellation • No prepayment needed
583,Sri Kumara Lodge,"₹ 2,100","₹ 1,260",+₹ 151 taxes and charges,Economy Double Room,1 double bed,7.9,Good ,36 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
584,Istay Hotels Rajajinagar,,"₹ 5,958",+₹ 715 taxes and charges,Mango Standard Room,1 large double bed,6.2,Review score ,12 reviews,,FREE cancellation • No prepayment needed
