,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
0,Treebo Trip Hotel Worldtree Prashant Extension,"₹ 4,554","₹ 2,277",+₹ 273 taxes and charges,[Sanitized] Deluxe Room,1 double bed,7.4,Good ,122 reviews,Only 6 rooms left at this price on our site,Free cancellation
1,Hotel Chetan International,"₹ 1,800","₹ 1,440",+₹ 173 taxes and charges,Standard Double Room,1 large double bed,7.7,Good ,274 reviews,,FREE cancellation • No prepayment needed
2,Olive Indiranagar - By Embassy Group,"₹ 2,856","₹ 1,999",+₹ 240 taxes and charges,Budget Double Room,1 large double bed,6.8,Review score ,294 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
3,"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,"₹ 9,500","+₹ 1,710 taxes and charges",Executive Club Room,1 large double bed,8.2,Very good ,"1,312 reviews",Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
4,"Holiday Inn Bengaluru Racecourse, an IHG Hotel",,"₹ 5,250",+₹ 630 taxes and charges,Superior Queen Room - Non-Smoking,1 double bed,7.3,Good ,716 reviews,,Free cancellation
5,BNGV Mystic Premier Hotel,,"₹ 5,100",+₹ 612 taxes and charges,Deluxe King Room,1 single bed,6.2,Review score ,146 reviews,,FREE cancellation • No prepayment needed
6,Conrad Bengaluru,,"₹ 9,900","+₹ 1,782 taxes and charges",Deluxe King Room - Lake View,1 extra-large double bed,8.4,Very good ,"1,076 reviews",,
7,"Howard Johnson By Wyndham, Hebbal, Bengaluru",,"₹ 5,700",+₹ 969 taxes and charges,Deluxe Twin Room,1 double bed,7.3,Good ,466 reviews,,FREE cancellation • No prepayment needed
8,Melange Astris,,"₹ 5,000",+₹ 600 taxes and charges,Executive Room,Entire studio • 1 bathroom • 28m²Beds: 1 double or 2 singles,7.8,Good ,322 reviews,Only 1 left at this price on our site,
9,Hyatt Centric MG Road Bangalore,,"₹ 9,500","+₹ 1,710 taxes and charges",King Room,1 extra-large double bed,8.2,Very good ,"1,014 reviews",,FREE cancellation • No prepayment needed
10,Treebo Trend JJ Residency,"₹ 2,945","₹ 1,472",+₹ 177 taxes and charges,Standard Double Room,1 extra-large double bed,10,Exceptional ,5 reviews,,Free cancellation
11,Lilac Hotel 3rd Block,,"₹ 3,300",+₹ 396 taxes and charges,Executive Room,Private apartment • 1 bedroom • 1 bathroom • 25m²1 large double bed,8.8,Fabulous ,121 reviews,Only 1 left at this price on our site,Free cancellation
12,Grand Mercure Bangalore - An Accor Brand,,"₹ 7,520","+₹ 1,354 taxes and charges",Studio Suite with Kitchenette with 20% discount on Food and Soft Beverages and 20% on SPA,Private studio • 1 bathroom • 40m²1 large double bed,8.2,Very good ,382 reviews,Only 7 left at this price on our site,
13,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",,"₹ 9,100","+₹ 1,638 taxes and charges",Deluxe Double Room,1 large double bed,8.3,Very good ,"1,883 reviews",,FREE cancellation • No prepayment needed
14,Shangri-La Bengaluru,,"₹ 12,500","+₹ 2,250 taxes and charges",Deluxe King Room,1 extra-large double bed,8.8,Fabulous ,923 reviews,,FREE cancellation • No prepayment needed
15,Grand Mercure Bengaluru at Gopalan Mall - An Accor Brand,,"₹ 7,650","+₹ 1,377 taxes and charges",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,8.7,Fabulous ,499 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
16,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru",,"₹ 12,350","+₹ 2,223 taxes and charges","Towers room, Guest room, 1 Queen",1 large double bed,8.5,Very good ,"1,128 reviews",Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
17,Goldfinch Hotel Bangalore,,"₹ 3,999",+₹ 480 taxes and charges,Superior Room,"3 beds (2 singles, 1 extra-large double)",7.3,Good ,212 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
18,"Holiday Inn Express Bengaluru Yeshwantpur, an IHG Hotel",,"₹ 4,750",+₹ 570 taxes and charges,Superior Queen Room - Non-Smoking,1 double bed,7.1,Good ,626 reviews,,Free cancellation
19,JW Marriott Hotel Bengaluru,,"₹ 12,550","+₹ 2,259 taxes and charges",Deluxe Room 2 Twin,1 extra-large double bed,8.2,Very good ,224 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
20,Hotel Ramanashree Richmond,,"₹ 2,940",+₹ 353 taxes and charges,Club Room,1 double bed,7.0,Good ,166 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
21,Radisson Bengaluru City Center,,"₹ 8,999","+₹ 1,800 taxes and charges",Deluxe Room,Beds: 1 double or 2 singles,8.4,Very good ,"1,065 reviews",,FREE cancellation • No prepayment needed
22,KSTDC KumaraKrupa Hotel,,"₹ 2,000",+₹ 240 taxes and charges,Deluxe Room (2 Adults + 1 Child),1 extra-large double bed,8.4,Very good ,229 reviews,,FREE cancellation • No prepayment needed
23,The Oberoi Bengaluru,,"₹ 13,500","+₹ 2,430 taxes and charges",Luxury Double or Twin Room,1 large double bed,9.4,Superb ,"1,479 reviews",,Free cancellation
24,"The Elanza Hotel, Bangalore",,"₹ 4,498",+₹ 540 taxes and charges,Deluxe Double or Twin Room,Multiple bed types,7.3,Good ,283 reviews,,FREE cancellation • No prepayment needed
25,Four Seasons Hotel Bengaluru at Embassy ONE,,"₹ 13,175","+₹ 2,372 taxes and charges",Superior King Room,1 extra-large double bed,9.4,Superb ,599 reviews,,FREE cancellation • No prepayment needed
26,Taj MG Road Bengaluru,,"₹ 13,000","+₹ 2,340 taxes and charges",Deluxe Room City View  King Bed,1 extra-large double bed,8.7,Fabulous ,773 reviews,,Free cancellation
27,Ramada Encore Domlur Bangalore,,"₹ 4,950",+₹ 594 taxes and charges,Queen Room - Mobility Access/Non-Smoking,1 large double bed,8.1,Very good ,323 reviews,,FREE cancellation • No prepayment needed
28,Fairfield by Marriott Bengaluru Rajajinagar,,"₹ 5,799",+₹ 696 taxes and charges,Fairfield Deluxe Room ,1 extra-large double bed,7.3,Good ,421 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
29,Courtyard by Marriott Bengaluru Hebbal,,"₹ 10,800","+₹ 1,944 taxes and charges",Deluxe Twin Room,2 single beds,8.5,Very good ,377 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
30,Sheraton Grand Bangalore Hotel at Brigade Gateway,,"₹ 12,200","+₹ 2,196 taxes and charges","Premier Deluxe, Guest room, 2 Queen, City view",2 single beds,8.8,Fabulous ,493 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
31,Hilton Garden Inn Bengaluru Embassy Manyata Business Park,,"₹ 8,143","+₹ 1,466 taxes and charges",Superior King Room,1 extra-large double bed,8.3,Very good ,62 reviews,,
32,Sanctuary Suites,"₹ 3,334","₹ 1,800",+₹ 216 taxes and charges,(Sanitised) Superior Double Room,1 double bed,8.8,Fabulous ,295 reviews,Only 2 rooms left at this price on our site,Free cancellation
33,Bengaluru Marriott Hotel Whitefield,,"₹ 11,200","+₹ 2,016 taxes and charges","Deluxe King, Guest room, 1 King",1 extra-large double bed,8.2,Very good ,342 reviews,,FREE cancellation • No prepayment needed
34,BloomSuites I Electronics City,,"₹ 3,420",+₹ 410 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.2,Good ,164 reviews,Only 3 rooms left at this price on our site,
35,"Holiday Inn Express & Suites Bengaluru Old Madras Road, an IHG Hotel",,"₹ 4,889",+₹ 587 taxes and charges,Standard Queen with Free Buffet Breakfast & 10% Disc on F&B,2 single beds,8.3,Very good ,464 reviews,,Free cancellation
36,"Liwa - The Transit Hotel, Bengaluru",,"₹ 3,215",+₹ 386 taxes and charges,King Room,1 extra-large double bed,7.5,Good ,118 reviews,,FREE cancellation • No prepayment needed
37,Hotel Royal Orchid Bangalore,"₹ 7,481","₹ 7,107",+₹ 853 taxes and charges,Deluxe Twin Room,2 single beds,7.2,Good ,766 reviews,,FREE cancellation • No prepayment needed
38,The Chancery Hotel,,"₹ 4,699",+₹ 564 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,6.8,Review score ,201 reviews,,
39,Monarch Brigade Road,,"₹ 3,300",+₹ 396 taxes and charges,Standard Double or Twin Room,Multiple bed types,7.3,Good ,641 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
40,Radisson Blu Bengaluru Outer Ring Road,,"₹ 8,400","+₹ 1,512 taxes and charges",Superior Room,Beds: 1 double or 2 singles,7.9,Good ,713 reviews,,FREE cancellation • No prepayment needed
41,"The Ritz - Carlton, Bangalore",,"₹ 13,750","+₹ 2,475 taxes and charges",Deluxe Room,1 extra-large double bed,9.3,Superb ,255 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
42,Sunrise Triangles,,"₹ 1,299",+₹ 156 taxes and charges,Standard Double Room,1 double bed,,,,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
43,Hotel Bangalore Gate,,"₹ 2,450",+₹ 294 taxes and charges,Executive Double or Twin Room,Beds: 1 double or 2 singles,8.0,Very good ,73 reviews,,Free cancellation
44,Casa Cottage,"₹ 5,000","₹ 3,750",+₹ 450 taxes and charges,Deluxe Room,Beds: 1 double or 2 singles,8.3,Very good ,180 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
45,Hotel Arafa Inn,,"₹ 1,400",+₹ 168 taxes and charges,Deluxe Room,1 large double bed,7.6,Good ,241 reviews,,FREE cancellation • No prepayment needed
46,"Holiday Inn Express Bengaluru Whitefield ITPL, an IHG Hotel",,"₹ 4,300",+₹ 516 taxes and charges,Superior Double or Twin Room with 15% discount on Food and Beverage,Beds: 1 double or 2 singles,7.1,Good ,338 reviews,,Free cancellation
47,Sanctum Suites Domlur Bangalore,,"₹ 2,800",+₹ 336 taxes and charges,Deluxe Queen Room,1 double bed,7.4,Good ,88 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
48,"Lemon Tree Premier, Ulsoor Lake, Bengaluru","₹ 9,009","₹ 5,405","+₹ 1,286 taxes and charges",Business Room,Beds: 1 double or 2 singles,7.4,Good ,274 reviews,,
49,Sanctum Suites Indiranagar Bangalore,,"₹ 2,800",+₹ 336 taxes and charges,Deluxe Queen Room,1 double bed,7.8,Good ,23 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
50,Four Points by Sheraton Bengaluru Whitefield,,"₹ 6,300",+₹ 756 taxes and charges,Superior room - Twin bed,2 single beds,8.0,Very good ,97 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
51,FabHotel Krishna Boutique Marathahalli - Fully Vaccinated Staff,"₹ 5,209","₹ 2,813",+₹ 338 taxes and charges,Executive Triple Room,1 large double bed,6.8,Review score ,106 reviews,,Free cancellation
52,FabHotel Prime Ivory Pearl II,"₹ 3,958","₹ 2,137",+₹ 256 taxes and charges,Superior Double Room,1 extra-large double bed,7.4,Good ,137 reviews,,Free cancellation
53,Hotel Ballal Residency,"₹ 5,000","₹ 4,100",+₹ 492 taxes and charges,Deluxe Double or Twin Room,2 single beds,6.5,Review score ,27 reviews,,FREE cancellation • No prepayment needed
54,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,,"₹ 11,250","+₹ 2,025 taxes and charges",Deluxe Room Twin Bed with City View,2 single beds,8.8,Fabulous ,163 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
55,Misty Meridian Serviced Apartments,,"₹ 4,275",+₹ 513 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²3 beds (1 sofa bed, 2 large doubles)",8.5,Very good ,157 reviews,,FREE cancellation • No prepayment needed
56,OYO 11688 Petuni Boutique Hotel,"₹ 2,134","₹ 1,387",+₹ 196 taxes and charges,Standard Double Room,1 large double bed,4.6,Review score ,12 reviews,Only 3 rooms left at this price on our site,Free cancellation
57,Vivanta Bengaluru Residency Road,,"₹ 9,000","+₹ 1,620 taxes and charges",Superior Double Room,1 double bed,8.0,Very good ,684 reviews,Only 3 rooms left at this price on our site,Free cancellation
58,Gokulam Grand Hotel & Spa Bangalore,,"₹ 6,501",+₹ 780 taxes and charges,Deluxe Room,Multiple bed types,7.7,Good ,593 reviews,,
59,"Vivanta Bengaluru, Whitefield",,"₹ 9,500","+₹ 1,710 taxes and charges",Superior Room City View Queen Bed,1 large double bed,8.2,Very good ,390 reviews,,FREE cancellation • No prepayment needed
60,Hilton Bangalore Embassy GolfLinks,,"₹ 9,900","+₹ 1,782 taxes and charges","King Hilton Guestroom with Sofa cum Bed, Bathtub, 15% disc on F&B andSpa",1 extra-large double bed,8.5,Very good ,506 reviews,,
61,Nexstay Rainbow Business Hotel,,"₹ 1,499",+₹ 180 taxes and charges,Standard Double Room,1 single bed,6.8,Review score ,107 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
62,Sterlings Mac Hotel & Suites,,"₹ 6,600",+₹ 792 taxes and charges,Executive Room,1 extra-large double bed,7.7,Good ,367 reviews,,Free cancellation
63,Aloft Bengaluru Whitefield,,"₹ 5,525",+₹ 663 taxes and charges,"Aloft Room, 2 Queen, City view",1 large double bed,8.0,Very good ,154 reviews,,FREE cancellation • No prepayment needed
64,FabHotel Astra Suites HSR Layout,"₹ 3,541","₹ 1,912",+₹ 229 taxes and charges,Deluxe Room,1 double bed,7.7,Good ,252 reviews,Only 5 rooms left at this price on our site,Free cancellation
65,"La Marvella, Bengaluru",,"₹ 9,499","+₹ 1,710 taxes and charges",Executive Room,Multiple bed types,8.3,Very good ,172 reviews,,FREE cancellation • No prepayment needed
66,Bloom Hotel - Indiranagar,,"₹ 5,000",+₹ 600 taxes and charges,Deluxe Suite King,1 extra-large double bed,8.3,Very good ,219 reviews,,FREE cancellation • No prepayment needed
67,ibis Bengaluru Hosur Road - An Accor Brand,,"₹ 4,505",+₹ 541 taxes and charges,Standard Queen Room,1 large double bed,7.7,Good ,671 reviews,,FREE cancellation • No prepayment needed
68,FabHotel Rotano Suites Yelahanka,"₹ 3,021","₹ 1,631",+₹ 196 taxes and charges,Deluxe Room,1 double bed,7.7,Good ,172 reviews,,Free cancellation
69,Caramel Hotels,"₹ 3,717","₹ 2,602",+₹ 312 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.2,Good ,117 reviews,Only 7 rooms left at this price on our site,Free cancellation
70,Fairfield by Marriott Bengaluru Outer Ring Road,,"₹ 8,000",+₹ 960 taxes and charges,Deluxe Queen or Twin Room with City View & Flexible check-in/check-out,1 large double bed,8.6,Fabulous ,203 reviews,,FREE cancellation • No prepayment needed
71,Courtyard by Marriott Bengaluru Outer Ring Road,,"₹ 12,000","+₹ 2,160 taxes and charges","Guest room, 2 Twin/Single Bed(s), City view",2 single beds,8.6,Fabulous ,133 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
72,Zion - A Luxurious Hotel,"₹ 4,500","₹ 4,050",+₹ 486 taxes and charges,Double or Twin Room,1 extra-large double bed,7.3,Good ,83 reviews,,FREE cancellation • No prepayment needed
73,Treebo Trend Trinitywood,"₹ 3,438","₹ 1,719",+₹ 206 taxes and charges,Standard Double Room,1 extra-large double bed,7.2,Good ,10 reviews,,Free cancellation
74,Sanctum Suites BEL Road Bangalore,,"₹ 2,900",+₹ 348 taxes and charges,Standard King Room,1 extra-large double bed,7.3,Good ,70 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
75,Fairfield by Marriott Bengaluru Outer Ring Road,,"₹ 8,000",+₹ 960 taxes and charges,Deluxe Queen or Twin Room with City View & Flexible check-in/check-out,1 large double bed,8.6,Fabulous ,203 reviews,,FREE cancellation • No prepayment needed
76,Courtyard by Marriott Bengaluru Outer Ring Road,,"₹ 12,000","+₹ 2,160 taxes and charges","Guest room, 2 Twin/Single Bed(s), City view",2 single beds,8.6,Fabulous ,133 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
77,Zion - A Luxurious Hotel,"₹ 4,500","₹ 4,050",+₹ 486 taxes and charges,Double or Twin Room,1 extra-large double bed,7.3,Good ,83 reviews,,FREE cancellation • No prepayment needed
78,Treebo Trend Trinitywood,"₹ 3,438","₹ 1,719",+₹ 206 taxes and charges,Standard Double Room,1 extra-large double bed,7.2,Good ,10 reviews,,Free cancellation
79,Sanctum Suites BEL Road Bangalore,,"₹ 2,900",+₹ 348 taxes and charges,Standard King Room,1 extra-large double bed,7.3,Good ,70 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
80,"Country Inn & Suites By Radisson, Bengaluru Hebbal Road",,"₹ 6,000",+₹ 720 taxes and charges,Day Use Room  (Check in at 12 PM and Check out at 5 PM on the SAME Day),1 double bed,6.6,Review score ,346 reviews,Only 5 rooms left at this price on our site,Free cancellation
81,FabHotel Phoenix Resorts,"₹ 3,750","₹ 2,025",+₹ 243 taxes and charges,Deluxe Room,1 large double bed,5.9,Review score ,37 reviews,,Free cancellation
82,FabHotel Crown Suites,"₹ 3,648","₹ 1,970",+₹ 236 taxes and charges,Deluxe Room,1 large double bed,8.0,Very good ,154 reviews,,Free cancellation
83,Hotel RR International,,"₹ 2,000",+₹ 240 taxes and charges,Deluxe Double Room (Non-A/C),Beds: 1 double or 2 singles,6.8,Review score ,374 reviews,,Free cancellation
84,Hotel Apple Suites,"₹ 1,600","₹ 1,280",+₹ 154 taxes and charges,Deluxe Double Room (2 Adults + 1 Child),1 double bed,7.6,Good ,217 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
85,bloomrooms @ City Centre,,"₹ 3,400",+₹ 408 taxes and charges,Standard Double Room,1 large double bed,8.4,Very good ,325 reviews,,FREE cancellation • No prepayment needed
86,Treebo Trend Hotel Raj Elegance Nagavara,"₹ 4,509","₹ 2,255",+₹ 271 taxes and charges,[Sanitized] Double Room,1 extra-large double bed,8.4,Very good ,161 reviews,Only 3 rooms left at this price on our site,Free cancellation
87,Treebo Trip Hotel Worldtree Bellandur,"₹ 5,944","₹ 2,972",+₹ 357 taxes and charges,[Sanitized] Standard Double or Twin Room,Beds: 1 double or 2 singles,6.9,Review score ,118 reviews,,Free cancellation
88,Coraltree By Goldfinch Hotels Bangalore,,"₹ 1,999",+₹ 240 taxes and charges,Superior Twin Room,1 single bed,6.1,Review score ,158 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
89,Temple Tree Hotel,,"₹ 3,400",+₹ 408 taxes and charges,Comfort Room,2 single beds,8.1,Very good ,95 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
90,"Liwa - The Transit Hotel, Bengaluru",,"₹ 3,572",+₹ 429 taxes and charges,King Room,1 extra-large double bed,7.5,Good ,118 reviews,,FREE cancellation • No prepayment needed
91,OYO 10218 Hotel Berry's,"₹ 4,248","₹ 2,124",+₹ 300 taxes and charges,Standard Double Room,1 large double bed,6.9,Review score ,238 reviews,,Free cancellation
92,FabHotel BSR Inn - Fully Vaccinated Staff,"₹ 3,718","₹ 2,008",+₹ 241 taxes and charges,(Sanitised) Deluxe Room,1 double bed,8.8,Fabulous ,145 reviews,,Free cancellation
93,Sarovar Portico Outer Ring Road,,"₹ 5,174",+₹ 621 taxes and charges,Deluxe Double Room,1 double bed,7.6,Good ,190 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
94,FabHotel Corporate Crown Koramangala - Fully Vaccinated Staff,"₹ 4,166","₹ 2,250",+₹ 270 taxes and charges,Superior Double Room,1 double bed,8.6,Fabulous ,283 reviews,,Free cancellation
95,FabHotel GRK Comforts,"₹ 2,498","₹ 1,349",+₹ 162 taxes and charges,Deluxe Room,1 double bed,7.8,Good ,254 reviews,,Free cancellation
96,The President Hotel,,"₹ 4,600",+₹ 552 taxes and charges,Comfort Double Room,1 large double bed,7.7,Good ,103 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
97,Townhouse OAK M & M Hospitality,"₹ 3,154","₹ 1,577",+₹ 219 taxes and charges,Classic Triple Room,1 extra-large double bed,5.4,Review score ,8 reviews,,FREE cancellation • No prepayment needed
98,Iris Hotel & Spa,,"₹ 5,600","+₹ 1,008 taxes and charges",Blue Ribbon Room,1 double bed,7.9,Good ,165 reviews,,FREE cancellation • No prepayment needed
99,Daffodil Delight,,"₹ 2,149",+₹ 258 taxes and charges,Standard Double or Twin Room,Beds: 1 double or 2 singles,7.3,Good ,128 reviews,Only 7 rooms left at this price on our site,Free cancellation
100,Coraltree By Goldfinch Hotels Bangalore,,"₹ 1,999",+₹ 240 taxes and charges,Superior Twin Room,1 single bed,6.1,Review score ,158 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
101,Temple Tree Hotel,,"₹ 3,400",+₹ 408 taxes and charges,Comfort Room,2 single beds,8.1,Very good ,95 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
102,OYO 10218 Hotel Berry's,"₹ 4,248","₹ 2,124",+₹ 300 taxes and charges,Standard Double Room,1 large double bed,6.9,Review score ,238 reviews,,Free cancellation
103,FabHotel BSR Inn - Fully Vaccinated Staff,"₹ 3,718","₹ 2,008",+₹ 241 taxes and charges,(Sanitised) Deluxe Room,1 double bed,8.8,Fabulous ,145 reviews,,Free cancellation
104,Sarovar Portico Outer Ring Road,,"₹ 5,174",+₹ 621 taxes and charges,Deluxe Double Room,1 double bed,7.6,Good ,190 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
105,FabHotel Corporate Crown Koramangala - Fully Vaccinated Staff,"₹ 4,166","₹ 2,250",+₹ 270 taxes and charges,Superior Double Room,1 double bed,8.6,Fabulous ,283 reviews,,Free cancellation
106,FabHotel RMS Comforts Yeshwantpur,"₹ 3,335","₹ 1,801",+₹ 216 taxes and charges,[Sanitised]Deluxe Room,1 extra-large double bed,8.0,Very good ,128 reviews,Only 5 rooms left at this price on our site,Free cancellation
107,FabHotel GRK Comforts,"₹ 2,498","₹ 1,349",+₹ 162 taxes and charges,Deluxe Room,1 double bed,7.8,Good ,254 reviews,,Free cancellation
108,The President Hotel,,"₹ 4,600",+₹ 552 taxes and charges,Comfort Double Room,1 large double bed,7.7,Good ,103 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
109,Townhouse OAK M & M Hospitality,"₹ 3,154","₹ 1,577",+₹ 219 taxes and charges,Classic Triple Room,1 extra-large double bed,5.4,Review score ,8 reviews,,FREE cancellation • No prepayment needed
110,Iris Hotel & Spa,,"₹ 5,600","+₹ 1,008 taxes and charges",Blue Ribbon Room,1 double bed,7.9,Good ,165 reviews,,FREE cancellation • No prepayment needed
111,Daffodil Delight,,"₹ 2,149",+₹ 258 taxes and charges,Standard Double or Twin Room,Beds: 1 double or 2 singles,7.3,Good ,128 reviews,Only 7 rooms left at this price on our site,Free cancellation
112,Locul.Uptown,,"₹ 1,965",+₹ 236 taxes and charges,Deluxe Double Room with Shower,2 single beds,9.1,Superb ,615 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
113,Vividus,"₹ 5,700","₹ 4,560",+₹ 684 taxes and charges,Economy Double or Twin Room,1 large double bed,8.7,Fabulous ,752 reviews,,Free cancellation
114,Oakwood Premier Prestige Bangalore,"₹ 16,500","₹ 12,375","+₹ 2,228 taxes and charges",Studio Superior Apartment with kitchenette,Private studio • 1 bathroom • 1 kitchen • 42m²1 extra-large double bed,8.4,Very good ,834 reviews,,Free cancellation
115,X by Bloom l Indiranagar,,"₹ 4,000",+₹ 480 taxes and charges,Deluxe King Room,1 extra-large double bed,8.2,Very good ,328 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
116,Olive Whitefield by Embassy Group,"₹ 3,315","₹ 2,321",+₹ 278 taxes and charges,Deluxe Double or Twin Room,1 double bed,6.7,Review score ,57 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
117,Bhagini Icon Premier Hotel,,"₹ 6,659",+₹ 799 taxes and charges,Studio,Private studio • 1 bathroom • 21m²Beds: 1 double or 2 singles,7.5,Good ,148 reviews,Only 3 left at this price on our site,FREE cancellation • No prepayment needed
118,Utse Suites,,"₹ 2,750",+₹ 330 taxes and charges,Superior Double Room,1 large double bed,8.0,Very good ,98 reviews,,Free cancellation
119,Treebo Trip Hotel Palm Emirates Tavarekere Main Road,"₹ 4,621","₹ 2,310",+₹ 277 taxes and charges,Standard Double Room,1 large double bed,6.9,Review score ,38 reviews,,Free cancellation
120,Lemon Tree Hotel Electronics City,"₹ 13,699","₹ 12,329","+₹ 3,674 taxes and charges",Executive Suite,Private suite1 large double bed,7.4,Good ,120 reviews,Only 3 left at this price on our site,FREE cancellation • No prepayment needed
121,Hotel Grand Suites,,"₹ 1,400",+₹ 168 taxes and charges,Standard Double Room,1 large double bed,6.7,Review score ,306 reviews,,Free cancellation
122,Treebo Trend Blu Orchid Indiranagar,"₹ 5,536","₹ 2,768",+₹ 332 taxes and charges,[Sanitized] Standard Double or Twin Room,Multiple bed types,8.0,Very good ,528 reviews,Only 2 rooms left at this price on our site,Free cancellation
123,Komfort Terraces Bangalore,,"₹ 1,607",+₹ 193 taxes and charges,Deluxe Double Room with 24 Hours Check-In & Check Out,1 double bed,5.8,Review score ,214 reviews,Only 3 rooms left at this price on our site,
124,FabHotel Emerald I,"₹ 2,081","₹ 1,124",+₹ 135 taxes and charges,Deluxe Room,1 double bed,7.1,Good ,62 reviews,,Free cancellation
125,"The Pride Hotel, Bangalore",,"₹ 6,389",+₹ 767 taxes and charges,Deluxe Room - 10% discount on Food & Soft Beverages (Except In-Room Dinning) & Early Check-In or Late Check-out (Subject to availability),Multiple bed types,7.1,Good ,598 reviews,,FREE cancellation • No prepayment needed
126,Treebo Trend Emora Hotel And Suites Brookfield,"₹ 4,842","₹ 2,421",+₹ 291 taxes and charges,[Sanitized] Standard Double or Twin Room,Multiple bed types,7.6,Good ,144 reviews,,Free cancellation
127,Davanam Sarovar Portico Suites,,"₹ 7,000",+₹ 840 taxes and charges,Deluxe Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 88m²3 beds (2 singles, 1 sofa bed)",8.3,Very good ,121 reviews,Only 5 left at this price on our site,FREE cancellation • No prepayment needed
128,Hotel Vellara,,"₹ 2,400",+₹ 288 taxes and charges,Double Room,2 single beds,8.1,Very good ,137 reviews,,FREE cancellation • No prepayment needed
129,Ashraya International Hotel,,"₹ 2,593",+₹ 311 taxes and charges,Standard Double Room,2 single beds,6.5,Review score ,63 reviews,,FREE cancellation • No prepayment needed
130,The Curzon Court,,"₹ 2,200",+₹ 330 taxes and charges,Standard Double or Twin Room,Multiple bed types,7.0,Good ,34 reviews,,
131,"The Royale Senate Race Course, Bangalore",,"₹ 4,400",+₹ 528 taxes and charges,Executive Double Room,Multiple bed types,8.0,Very good ,180 reviews,,FREE cancellation • No prepayment needed
132,St. Mark's Hotel,,"₹ 7,000",+₹ 840 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,8.7,Fabulous ,167 reviews,,Free cancellation
133,Eiffel Suites - Kammanahalli,"₹ 3,235","₹ 2,750",+₹ 330 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 kitchen • 42m²2 beds (1 extra-large double, 1 sofa bed)",8.4,Very good ,50 reviews,Only 2 left at this price on our site,
134,Terrace Gardens,,"₹ 4,000",+₹ 480 taxes and charges,Executive Double Room,1 double bed,8.8,Fabulous ,60 reviews,Only 2 rooms left at this price on our site,Free cancellation
