,Unnamed: 0,Unnamed: 0.1,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
226,226,226,Conrad Bengaluru,0,11000, 1980 ,Deluxe King Room - Lake View,1 extra-large double bed,8.4,Very good ,1081,No Rooms left,FREE cancellation • No prepayment needed
227,227,227,Hotel Saarang Forever,0,1500, 180 ,Family Suite,Private suite1 large double bed,8.3,Very good ,141,Only 1 left ,FREE cancellation • No prepayment needed
228,228,228,Capital O 70991 Prime Square,2141,1071, 173 ,Standard Double Room,1 large double bed,5.4,Plesant ,16,No Rooms left,Free cancellation
229,229,229,SPOT ON 65593 Yatra Inn,844,506, 30 ,Triple Room with Bathroom,1 large double bed,5.9,Plesant ,26,No Rooms left,Free cancellation
230,230,230,SPOT ON 75492 The Royal Comfort,1528,993, 45 ,Triple Room with Bathroom,1 large double bed,6.9,Plesant ,17,No Rooms left,Free cancellation
231,231,231,Zip By Spree Hotels Whitefield,3299,3134, 376 ,Double or Twin Room,Multiple bed types,6.8,Plesant ,10,No Rooms left,
232,232,232,Hotel UR Comforts Jayanagar,0,1540, 185 ,Deluxe Room,1 extra-large double bed,7.0,Good ,38,No Rooms left,FREE cancellation • No prepayment needed
233,233,233,White Mist by Happy Retreats,0,5950, 714 ,Double Room,1 double bed,8.2,Very good ,5,Only 2 rooms left ,
234,234,234,OYO 78888 Elite Stays JP Nagar New,999,650, 30 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 16m²1 double bed,5.3,Plesant ,17,No Rooms left,Free cancellation
235,235,235,OYO 15695 Varcity Comforts,1010,586, 45 ,Standard Double Room,1 large double bed,3.0,Plesant ,2,No Rooms left,Free cancellation
236,236,236,Sanctum Suites Indiranagar Bangalore,0,2800, 336 ,Deluxe Queen Room,1 double bed,8.0,Very good ,25,Only 4 rooms left ,FREE cancellation • No prepayment needed
237,237,237,Hotel Arafa Inn,0,1800, 216 ,Deluxe Room,1 large double bed,7.6,Good ,246,No Rooms left,FREE cancellation • No prepayment needed
238,238,238,NestHotels Kormangala by Urban,2950,2360, 283 ,Deluxe Room,1 large double bed,4.0,Plesant ,1,Only 2 rooms left ,Free cancellation
239,239,239,Aloft Bengaluru Whitefield,0,5525, 663 ,"Aloft Room, 2 Queen, City view",1 large double bed,8.0,Very good ,154,No Rooms left,FREE cancellation • No prepayment needed
240,240,240,"Liwa - The Transit Hotel, Bengaluru",0,3215, 386 ,King Room,1 extra-large double bed,7.5,Good ,121,Only 7 rooms left ,FREE cancellation • No prepayment needed
241,241,241,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru",0,12350, 2223 ,"Towers room, Guest room, 1 Queen",1 large double bed,8.5,Very good ,1131,Only 5 rooms left ,
242,242,242,Lusia Inn,0,999,Includes ,Standard Double Room,1 extra-large double bed,6.5,Plesant ,42,Only 3 rooms left ,
243,243,243,Hotel Omicron 1 BHK Studio room,0,1900, 228 ,1 BHK Studio Room,"Private studio • 1 bathroom • 46m²2 beds (1 large double, 1 futon)",8.1,Very good ,22,Only 1 left ,FREE cancellation • No prepayment needed
244,244,244,OYO 9253 Champion Comfort,2320,1160, 169 ,Classic Triple Room,1 extra-large double bed,7.2,Good ,25,No Rooms left,Free cancellation
245,245,245,OYO Flagship 11640 Hotel Aaira Inn,1598,799, 30 ,Classic Triple Room,2 extra-large double beds,6.5,Plesant ,11,Only 6 rooms left ,Free cancellation
